OBJECTID,OBJECTCLASS,OBJECTSUBCLASS,DESCRIPTION,REPOSITORY,CREATEDDATE,UPDATEDDATE,TRANSFERDATE,EXPIRATIONDATE,RENEWALMODE,RENEWALPERIOD,PREPAIDPERIOD,PAIDUNTILDATE,ACCOUNTINGDATE,FINALIZATIONDATE,FAILUREDATE,NEXTACTION,NEXTACTIONDATE,NAMESERVER,INTERNALNAMESERVER,STATUS,OWNERCONTACT,ADMINCONTACT,TECHCONTACT,BILLINGCONTACT,ROID,TRANSFERLOCK,ADDON-PROXY,ADDON-TRUSTEE,MISSINGPARAMETER,INVALIDPARAMETER,CLAIMKEY,TRANSFER-DIRECTION,TRANSFER-CREATEDDATE,TRANSFER-STATUS,TRANSFER-OLDREGISTRAR,TRANSFER-NEWREGISTRAR,User,SubUser,SubSubUsers
symbol1.com,DOMAIN,COM,symbol1.com,COM-OTE-1API1,2009-11-03 18:32:49,2016-03-25 21:21:29,0000-00-00 00:00:00,2025-11-03 17:32:50,AUTORENEW,1Y,1Y,2026-11-03 17:32:50,2026-10-29 17:32:50,2025-11-04 17:32:50,2026-12-17 17:32:50,finalize,2025-11-04 17:32:50,ns1.symbol1.com ns2.symbol1.com,,ACTIVE,P-QLL32347,P-QLL32347,P-QLL32347,P-QLL32347,,0,0,,,,,,,,,,test.user,,
superknoedel.de,DOMAIN,DE,superknoedel.de,DENIC-OTE-20332,2009-08-16 11:12:21,2009-08-16 11:12:21,0000-00-00 00:00:00,2026-08-27 11:12:21,AUTORENEW,1Y,0,2026-08-27 11:12:21,2026-08-20 11:12:21,2026-08-26 11:12:21,2026-08-26 11:12:21,pay,2026-08-20 11:12:21,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
xn--asdfsadf-gza.de,DOMAIN,DE,asdfsadfá.de,DENIC-OTE-20332,2009-10-18 14:59:43,2009-10-18 14:59:43,0000-00-00 00:00:00,2026-10-29 14:59:43,AUTORENEW,1Y,0,2026-10-29 14:59:43,2026-10-22 14:59:43,2026-10-28 14:59:43,2026-10-28 14:59:43,pay,2026-10-22 14:59:43,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
seidel.de,DOMAIN,DE,seidel.de,DENIC-OTE-20332,2009-12-19 13:41:55,2011-03-25 17:51:08,0000-00-00 00:00:00,2025-12-29 13:41:55,AUTORENEW,1Y,0,2025-12-29 13:41:55,2025-12-22 13:41:55,2025-12-28 13:41:55,2025-12-28 13:41:55,pay,2025-12-22 13:41:55,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
waldwichser.com,DOMAIN,COM,waldwichser.com,COM-OTE-1API1,2009-12-15 19:12:24,2011-01-30 19:21:12,0000-00-00 00:00:00,2025-12-15 18:12:25,AUTORENEW,1Y,0,2025-12-15 18:12:25,2025-12-10 18:12:25,2025-12-16 18:12:25,2026-01-28 18:12:25,pay,2025-12-10 18:12:25,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
hidden-identity.net,DOMAIN,NET,hidden-identity.net,COM-OTE-1API1,2009-11-04 21:47:54,2013-08-07 17:50:03,0000-00-00 00:00:00,2025-11-04 21:47:56,AUTORENEW,1Y,1Y,2026-11-04 21:47:56,2026-10-30 21:47:56,2025-11-05 21:47:56,2026-12-18 21:47:56,finalize,2025-11-05 21:47:56,,,ACTIVE,P-QLL32347,P-QLL32347,P-QLL32347,P-QLL32347,,0,0,,,,,,,,,,test.user,,
tmcafinancial.com,DOMAIN,COM,tmcafinancial.com,COM-OTE-1API1,2010-03-14 00:49:48,2011-04-28 23:51:14,0000-00-00 00:00:00,2026-03-13 23:49:48,AUTORENEW,1Y,0,2026-03-13 23:49:48,2026-03-08 23:49:48,2026-03-14 23:49:48,2026-04-26 23:49:48,pay,2026-03-08 23:49:48,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-TFT102001,P-TFT102001,P-TFT102001,P-TFT102001,,0,0,,,,,,,,,,test.user,,
hexonet.net,DOMAIN,NET,hexonet.net,COM-OTE-1API1,2009-04-28 16:15:50,2020-08-25 12:53:51,0000-00-00 00:00:00,2026-04-28 16:17:19,AUTORENEW,1Y,0,2026-04-28 16:17:19,2026-04-23 16:17:19,2026-04-29 16:17:19,2026-06-11 16:17:19,pay,2026-04-23 16:17:19,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net,ns2.hexonet.net ns3.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE clientHold clientDeleteProhibited clientRenewProhibited,P-FCZ28558,P-FCZ28558,P-FCZ28558,P-FCZ28558,,0,0,,,,,,,,,,test.user,,
sohotboy.com,DOMAIN,COM,sohotboy.com,COM-OTE-1API1,2009-09-19 12:38:34,2010-11-04 12:51:01,0000-00-00 00:00:00,2026-09-19 12:38:36,AUTORENEW,1Y,0,2026-09-19 12:38:36,2026-09-14 12:38:36,2026-09-20 12:38:36,2026-11-02 12:38:36,pay,2026-09-14 12:38:36,ns2.cn.hn ns1.cn.hn,,ACTIVE,P-AKS29301,P-AKS29301,P-AKS29301,P-AKS29301,,0,0,,,,,,,,,,test.user,,
trucmuche.de,DOMAIN,DE,trucmuche.de,DENIC-OTE-20332,2009-07-25 06:12:27,2009-07-25 06:12:27,0000-00-00 00:00:00,2026-08-05 06:12:27,AUTORENEW,1Y,0,2026-08-05 06:12:27,2026-07-29 06:12:27,2026-08-04 06:12:27,2026-08-04 06:12:27,pay,2026-07-29 06:12:27,,,ACTIVE,,,,,,0,,,,,,,,,,,test.user,,
nerv-mi.net,DOMAIN,NET,nerv-mi.net,COM-OTE-1API1,2009-06-23 11:23:35,2009-06-23 11:23:35,0000-00-00 00:00:00,2026-06-23 11:23:36,AUTORENEW,1Y,0,2026-06-23 11:23:36,2026-06-18 11:23:36,2026-06-24 11:23:36,2026-08-06 11:23:36,pay,2026-06-18 11:23:36,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
piratenpartei-sendenhorst.de,DOMAIN,DE,piratenpartei-sendenhorst.de,DENIC-OTE-20332,2009-09-28 11:40:14,2009-09-28 11:40:14,0000-00-00 00:00:00,2025-11-09 23:40:14,AUTORENEW,1M,1M,2025-12-10 11:40:14,2025-12-03 11:40:14,2025-11-08 23:40:14,2025-12-09 11:40:14,finalize,2025-11-08 23:40:14,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
superblahblah.de,DOMAIN,DE,superblahblah.de,DENIC-OTE-20332,2009-08-16 11:12:10,2009-08-16 11:12:10,0000-00-00 00:00:00,2026-08-27 11:12:10,AUTORENEW,1Y,0,2026-08-27 11:12:10,2026-08-20 11:12:10,2026-08-26 11:12:10,2026-08-26 11:12:10,pay,2026-08-20 11:12:10,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
abhoster.com,DOMAIN,COM,abhoster.com,COM-OTE-1API1,2009-12-18 07:43:34,2013-01-14 07:39:51,0000-00-00 00:00:00,2025-12-18 07:43:35,AUTORENEW,1Y,0,2025-12-18 07:43:35,2025-12-13 07:43:35,2025-12-19 07:43:35,2026-01-31 07:43:35,pay,2025-12-13 07:43:35,ns1.ispapi.net,ns1.ispapi.net,ACTIVE clientTransferProhibited,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,1,0,,,,,,,,,,test.user,,
webspace4everyone.tel,DOMAIN,TEL,webspace4everyone.tel,30244,2010-04-29 02:37:48,2013-06-13 12:12:51,0000-00-00 00:00:00,2018-04-28 23:59:59,AUTORENEW,1Y,1Y,2019-04-28 23:59:59,2019-04-23 23:59:59,2018-04-29 23:59:59,2019-06-11 23:59:59,expireunpaid,2019-06-11 23:59:59,d0.cth.dns.nic.tel n0.cth.dns.nic.tel s0.cth.dns.nic.tel t0.cth.dns.nic.tel a0.cth.dns.nic.tel,,ACTIVE,P-DUT105559,P-DUT105559,P-DUT105559,P-DUT105559,,0,,,,,,,,,,,test.user,,
symbol2.com,DOMAIN,COM,symbol2.com,COM-OTE-1API1,2009-11-03 18:33:08,2010-12-19 17:36:00,0000-00-00 00:00:00,2025-11-03 17:33:09,AUTORENEW,1Y,1Y,2026-11-03 17:33:09,2026-10-29 17:33:09,2025-11-04 17:33:09,2026-12-17 17:33:09,finalize,2025-11-04 17:33:09,,,ACTIVE,P-QLL32347,P-QLL32347,P-QLL32347,P-QLL32347,,0,0,,,,,,,,,,test.user,,
el-grzes.pl,DOMAIN,PL,el-grzes.pl,PL-OTE-1API1,2009-04-11 16:23:11,2017-06-29 18:37:54,0000-00-00 00:00:00,2026-04-11 16:23:56,AUTORENEW,1Y,0,2026-04-11 16:23:56,2026-04-04 16:23:56,2026-04-10 16:23:56,2026-04-10 16:23:56,pay,2026-04-04 16:23:56,ns2.ispapi.net ns1.ispapi.net ns3.ispapi.net,ns1.ispapi.net ns2.ispapi.net ns3.ispapi.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,,,,,,,,,,,,test.user,,
lolko.com.cm,DOMAIN,COMCM,lolko.com.cm,34237,2009-06-09 10:10:51,2009-06-09 10:10:51,0000-00-00 00:00:00,2011-06-09 10:15:22,AUTODELETE,1Y,2Y,2013-06-08 10:15:22,2013-06-01 10:15:22,2011-06-07 10:15:22,2013-06-07 10:15:22,delete,2013-06-07 10:15:22,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns1.hexonet.net ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net ns2.hexonet.net ns3.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
rossbach.com,DOMAIN,COM,rossbach.com,COM-OTE-1API1,2010-05-20 14:44:42,2010-05-20 14:44:42,0000-00-00 00:00:00,2026-05-20 14:44:43,AUTORENEW,1Y,0,2026-05-20 14:44:43,2026-05-15 14:44:43,2026-05-21 14:44:43,2026-07-03 14:44:43,pay,2026-05-15 14:44:43,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT105559,P-DUT105559,P-DUT105559,P-DUT105559,,0,0,,,,,,,,,,test.user,,
webgazda123.com,DOMAIN,COM,webgazda123.com,COM-OTE-1API1,2010-05-18 19:52:29,2010-05-18 19:52:29,0000-00-00 00:00:00,2026-05-18 19:52:30,AUTORENEW,1Y,0,2026-05-18 19:52:30,2026-05-13 19:52:30,2026-05-19 19:52:30,2026-07-01 19:52:30,pay,2026-05-13 19:52:30,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT105559,P-DUT105559,P-DUT105559,P-DUT105559,,0,0,,,,,,,,,,test.user,,
myburgers.com,DOMAIN,COM,myburgers.com,COM-OTE-1API1,2009-07-17 08:23:05,2009-07-17 08:23:05,0000-00-00 00:00:00,2026-07-17 08:23:07,AUTORENEW,1Y,0,2026-07-17 08:23:07,2026-07-12 08:23:07,2026-07-18 08:23:07,2026-08-30 08:23:07,pay,2026-07-12 08:23:07,ns1.testing.test.co.uk ns0.testing.test.co.uk,,ACTIVE,P-MRS30900,P-MRS30900,P-MRS30900,P-MRS30900,,0,0,,,,,,,,,,test.user,,
tuauauus.tel,DOMAIN,TEL,tuauauus.tel,30244,2009-07-01 21:06:15,2013-08-15 12:13:07,0000-00-00 00:00:00,2018-06-30 23:59:59,AUTORENEW,1Y,1Y,2019-06-30 23:59:59,2019-06-25 23:59:59,2018-07-01 23:59:59,2019-08-13 23:59:59,expireunpaid,2019-08-13 23:59:59,d0.cth.dns.nic.tel n0.cth.dns.nic.tel s0.cth.dns.nic.tel t0.cth.dns.nic.tel a0.cth.dns.nic.tel,,ACTIVE,P-LQU30648,P-LQU30648,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
trrtyrtyrtyryry546456456.com,DOMAIN,COM,trrtyrtyrtyryry546456456.com,COM-OTE-1API1,2009-08-14 08:53:28,2009-08-14 08:53:28,0000-00-00 00:00:00,2026-08-14 08:53:30,AUTORENEW,1Y,0,2026-08-14 08:53:30,2026-08-09 08:53:30,2026-08-15 08:53:30,2026-09-27 08:53:30,pay,2026-08-09 08:53:30,ns1.testing.test.co.uk ns0.testing.test.co.uk,,ACTIVE,P-TBR31367,P-TBR31367,P-TBR31367,P-TBR31367,,0,0,,,,,,,,,,test.user,,
symbol3.com,DOMAIN,COM,symbol3.com,COM-OTE-1API1,2009-11-03 20:56:22,2010-12-19 20:05:59,0000-00-00 00:00:00,2025-11-03 19:56:23,AUTORENEW,1Y,1Y,2026-11-03 19:56:23,2026-10-29 19:56:23,2025-11-04 19:56:23,2026-12-17 19:56:23,finalize,2025-11-04 19:56:23,,,ACTIVE,P-QLL32347,P-QLL32347,P-QLL32347,P-QLL32347,,0,0,,,,,,,,,,test.user,,
multiholder.de,DOMAIN,DE,multiholder.de,DENIC-OTE-20332,2009-03-13 15:23:40,2009-03-13 15:23:40,0000-00-00 00:00:00,2026-03-24 15:23:40,AUTORENEW,1Y,0,2026-03-24 15:23:40,2026-03-17 15:23:40,2026-03-23 15:23:40,2026-03-23 15:23:40,pay,2026-03-17 15:23:40,,,ACTIVE,,,,,,0,,,,,,,,,,,test.user,,
www.cn.com,DOMAIN,CNCOM,www.cn.com,CENTRALNIC-OTE-1API,2010-04-27 00:00:00,2015-05-08 08:52:15,0000-00-00 00:00:00,2026-04-27 23:59:59,AUTORENEW,1Y,0,2026-04-27 23:59:59,2026-04-27 23:59:59,2026-06-10 23:59:59,2026-06-10 23:59:59,pay,2026-04-27 23:59:59,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT105559,P-DUT105559,P-DUT105559,P-DUT105559,,0,0,,,,,,,,,,test.user,,
tfgzigvg.de,DOMAIN,DE,tfgzigvg.de,DENIC-OTE-20332,2009-11-05 02:49:40,2009-11-05 02:49:40,0000-00-00 00:00:00,2025-11-17 02:49:40,AUTORENEW,1M,0,2025-11-17 02:49:40,2025-11-10 02:49:40,2025-11-16 02:49:40,2025-11-16 02:49:40,pay,2025-11-10 02:49:40,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
ugdjsdfgsdjfgsdjf.net,DOMAIN,NET,ugdjsdfgsdjfgsdjf.net,COM-OTE-1API1,2009-04-28 16:19:08,2016-07-21 09:20:40,0000-00-00 00:00:00,2026-04-28 16:20:37,AUTORENEW,1Y,0,2026-04-28 16:20:37,2026-04-23 16:20:37,2026-04-29 16:20:37,2026-06-11 16:20:37,pay,2026-04-23 16:20:37,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE clientTransferProhibited,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,1,0,,,,,,,,,,test.user,,
dotmailer.com,DOMAIN,COM,dotmailer.com,COM-OTE-1API1,2010-05-28 15:33:07,2017-06-29 18:37:20,0000-00-00 00:00:00,2026-05-28 15:33:08,AUTORENEW,1Y,0,2026-05-28 15:33:08,2026-05-23 15:33:08,2026-05-29 15:33:08,2026-07-11 15:33:08,pay,2026-05-23 15:33:08,ns3.ispapi.net ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns3.ispapi.net ns2.ispapi.net,ACTIVE,P-MDF114293,P-MDF114293,P-MDF114293,P-MDF114293,,0,0,,,,,,,,,,test.user,,
peter-geng.com,DOMAIN,COM,peter-geng.com,COM-OTE-1API1,2010-08-24 16:10:41,2010-08-25 02:00:34,0000-00-00 00:00:00,2026-08-24 16:10:41,AUTORENEW,1Y,0,2026-08-24 16:10:41,2026-08-19 16:10:41,2026-08-25 16:10:41,2026-10-07 16:10:41,pay,2026-08-19 16:10:41,ns3.ispapi.net ns2.ispapi.net ns1.ispapi.net,ns3.ispapi.net ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-XYP128939,P-RSP128937,P-ZYP128938,P-RKP128936,,0,0,,,,,,,,,,test.user,,
svenlacht.tel,DOMAIN,TEL,svenlacht.tel,30244,2010-09-17 14:39:35,2012-11-02 00:10:18,0000-00-00 00:00:00,2018-09-16 23:59:59,AUTORENEW,1Y,1Y,2019-09-16 23:59:59,2019-09-11 23:59:59,2018-09-17 23:59:59,2019-10-30 23:59:59,expireunpaid,2019-10-30 23:59:59,d0.cth.dns.nic.tel n0.cth.dns.nic.tel s0.cth.dns.nic.tel a0.cth.dns.nic.tel t0.cth.dns.nic.tel,,ACTIVE,P-DUT119381,P-DUT119381,P-DUT119381,P-DUT119381,,0,,,,,,,,,,,test.user,,
zitrox.com,DOMAIN,COM,zitrox.com,COM-OTE-1API1,2010-09-20 09:27:25,2015-09-01 19:55:10,0000-00-00 00:00:00,2026-09-20 09:27:25,AUTORENEW,1Y,0,2026-09-20 09:27:25,2026-09-15 09:27:25,2026-09-21 09:27:25,2026-11-03 09:27:25,pay,2026-09-15 09:27:25,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT119381,P-DUT119381,P-DUT119381,P-DUT119381,,0,0,,,,,,,,,,test.user,,
svenlacht.com,DOMAIN,COM,svenlacht.com,COM-OTE-1API1,2010-09-17 14:37:19,2015-09-01 19:55:12,0000-00-00 00:00:00,2026-09-17 14:37:19,AUTORENEW,1Y,0,2026-09-17 14:37:19,2026-09-12 14:37:19,2026-09-18 14:37:19,2026-10-31 14:37:19,pay,2026-09-12 14:37:19,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT119381,P-DUT119381,P-DUT119381,P-DUT119381,,0,0,,,,,,,,,,test.user,,
lesben-pornos.com,DOMAIN,COM,lesben-pornos.com,COM-OTE-1API1,2010-06-01 09:15:26,2010-06-01 09:15:26,0000-00-00 00:00:00,2026-06-01 09:15:27,AUTORENEW,1Y,0,2026-06-01 09:15:27,2026-05-27 09:15:27,2026-06-02 09:15:27,2026-07-15 09:15:27,pay,2026-05-27 09:15:27,ns3.ispapi.net ns2.ispapi.net ns1.ispapi.net,ns3.ispapi.net ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-JWH115009,P-JWH115007,P-JWH115008,P-JWH115006,,0,0,,,,,,,,,,test.user,,
terrorizermagazine.com,DOMAIN,COM,terrorizermagazine.com,COM-OTE-1API1,2010-06-04 11:17:26,2010-06-04 11:17:26,0000-00-00 00:00:00,2026-06-04 11:17:27,AUTORENEW,1Y,0,2026-06-04 11:17:27,2026-05-30 11:17:27,2026-06-05 11:17:27,2026-07-18 11:17:27,pay,2026-05-30 11:17:27,ns1.dns.dotmailer.co.uk ns0.dns.dotmailer.co.uk,,ACTIVE,P-MYA115862,P-MYA115862,P-MYA115862,P-MYA115862,,0,0,,,,,,,,,,test.user,,
schradi-host.com,DOMAIN,COM,schradi-host.com,COM-OTE-1API1,2010-08-03 12:39:42,2015-09-01 19:55:11,0000-00-00 00:00:00,2026-08-03 12:39:42,AUTORENEW,1Y,0,2026-08-03 12:39:42,2026-07-29 12:39:42,2026-08-04 12:39:42,2026-09-16 12:39:42,pay,2026-07-29 12:39:42,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DUT119381,P-DUT119381,P-DUT119381,P-DUT119381,,0,0,,,,,,,,,,test.user,,
testdomain-1-100726.com,DOMAIN,COM,testdomain-1-100726.com,COM-OTE-1API1,2010-07-26 00:00:11,2020-02-28 13:56:47,2020-02-28 13:56:47,2026-07-26 00:00:11,AUTORENEW,1Y,0,2026-07-26 00:00:11,2026-07-21 00:00:11,2026-07-27 00:00:11,2026-09-08 00:00:11,pay,2026-07-21 00:00:11,domain.does.not.resolve.ispapi.net domain.name.has.expired.ispapi.net,,ACTIVE clientTransferProhibited,,,,,,1,0,,,,,,,,,,test.user,,
